,Date,Time,Location,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,Elo_HomeTeam,Elo_AwayTeam,Temperature,Humidity,Wind Speed,Condition
53,2024-03-10,15:45,EGGP,Liverpool,Man City,1,1,D,0,1,A,M Oliver,19,10,6,6,6,10,7,4,0,3,0,0,2.94,3.76,2.2159999999999997,1958.14501953,2047.08068848,45.08510638297872,89.70212765957447,12.936170212765957,Light Rain
54,2024-03-10,14:00,EGLC,West Ham,Burnley,2,2,D,0,2,A,D England,22,11,4,4,11,18,4,4,2,4,0,0,1.656,4.012,4.918,1771.27514648,1612.70812988,46.833333333333336,91.625,6.854166666666667,Light Rain
55,2024-03-10,13:00,EGBB,Aston Villa,Tottenham,0,4,A,0,0,D,C Kavanagh,10,9,1,5,11,15,6,4,0,2,1,0,2.3920000000000003,3.996,2.5799999999999996,1843.26171875,1833.75219727,45.416666666666664,93.75,8.1875,Rain
56,2024-03-09,15:00,EGHH,Bournemouth,Sheffield United,2,2,D,0,1,A,A Taylor,32,13,12,9,12,11,10,3,3,5,0,0,1.332,5.36,8.404,1703.56652832,1567.20080566,48.81481481481482,82.44444444444444,12.333333333333334,Mostly Cloudy
57,2024-03-09,12:30,EGCC,Man United,Everton,2,0,H,2,0,H,S Hooper,15,23,8,6,13,11,5,8,1,2,0,0,1.834,3.826,4.0200000000000005,1801.62939453,1708.73962402,44.75,82.97916666666667,13.229166666666666,Mostly Cloudy
58,2024-03-09,17:30,EGLC,Arsenal,Brentford,2,1,H,1,1,D,R Jones,17,9,6,4,9,10,10,4,2,4,0,0,1.216,6.8420000000000005,11.688,1951.09790039,1727.55249023,48.8125,75.60416666666667,11.3125,Fair
59,2024-03-09,15:00,EGLC,Crystal Palace,Luton,1,1,D,1,0,H,S Singh,21,8,4,2,20,11,8,6,2,3,0,0,1.75,3.830000000000001,4.416,1700.63427734,1605.6418457,48.8125,75.60416666666667,11.3125,Fair
60,2024-03-09,15:00,EGBB,Wolves,Fulham,2,1,H,0,0,D,T Harrington,8,23,3,6,7,11,3,4,2,2,0,0,2.514,3.3920000000000003,2.756,1735.24633789,1734.83837891,46.833333333333336,78.4375,11.395833333333334,Mist
61,2024-03-04,20:00,EGCN,Sheffield United,Arsenal,0,6,A,0,5,A,S Barrott,4,22,0,10,11,4,0,7,1,0,0,0,16.247999999999998,7.686,1.16,1575.88354492,1951.65014648,49.35287081339713,80.27083333333333,8.452570921985817,Fair
62,2024-03-03,15:30,EGCC,Man City,Man United,3,1,H,0,1,A,A Madley,27,3,8,1,5,10,15,2,0,1,0,0,1.2499999999999998,6.178,10.412,2047.98669434,1809.42895508,39.75,82.29166666666667,3.3958333333333335,Fair
